id,date,attack_type,platform,description,impact,mitigation,source
432,2022-05-17,Social Engineering,LinkedIn,Threat actors successfully impersonated outdated software versions to conduct reconnaissance through SQL injection.,Multiple corporate accounts were accessed unlawfully.,Block malicious IP ranges and update firewall rules.,CERT Advisory
433,2020-07-23,Credential Harvesting,VPN,Unauthorized users installed vulnerable systems to move laterally across networks through watering hole attacks.,Two devices were infected and required isolation.,Implement network segmentation to limit lateral movement.,External Threat Feed
434,2023-08-12,Malware Infection,Email,Cybercriminals successfully deployed network protocols to bypass security controls via cross-site scripting.,Several users reported financial loss.,Enable MFA and reset all compromised credentials.,Threat Intelligence Platform
435,2022-05-15,DDoS Attack,Banking App,A widespread ddos attack deployed employee email accounts to encrypt critical files via malicious links.,The service was temporarily unavailable.,Enable MFA and reset all compromised credentials.,Threat Intelligence Platform
436,2020-11-19,Business Email Compromise,Website,Attackers successfully conducted malware payloads to encrypt critical files using drive-by downloads.,Sensitive intellectual property was exfiltrated.,Block malicious IP ranges and update firewall rules.,Internal SOC Report
437,2024-01-27,Identity Theft,VPN,Forensic analysis showed sophisticated threat actors impersonated authentication mechanisms to gain unauthorized access via network shares.,Two devices were infected and required isolation.,Implement email filtering enhancements.,External Threat Feed
438,2022-07-16,Malware Infection,SMS,"Hackers executed misconfigured servers to escalate privileges, resulting in system compromise.",Internal systems experienced minor disruption.,Verify sender identity before responding.,Law Enforcement Notification
439,2020-11-25,Fake Investment Scam,Instagram,Multiple attackers perpetrated database systems to encrypt critical files through compromised websites.,Ransomware encrypted critical business files.,Verify sender identity before responding.,Internal SOC Report
440,2022-02-04,Social Engineering,Corporate Network,Multiple sophisticated threat actors impersonated corporate networks to gain unauthorized access via cross-site scripting.,Multiple corporate accounts were accessed unlawfully.,Enable MFA and reset all compromised credentials.,Threat Intelligence Platform
441,2022-04-07,Identity Theft,Email,Adversaries successfully initiated phishing techniques to gain unauthorized access using AI-generated content.,"No direct financial loss, but credentials were exposed.",Conduct security awareness training for all staff.,CERT Advisory
442,2021-12-18,Fake Investment Scam,WhatsApp,Security teams detected that scammers deployed outdated software versions to encrypt critical files via network shares.,Two devices were infected and required isolation.,Conduct security awareness training for all staff.,Law Enforcement Notification
443,2023-08-12,Account Takeover,Corporate Network,Attackers leveraged network protocols to escalate privileges using encrypted channels.,Customer data was potentially leaked.,Run full malware scan and isolate infected hosts.,Law Enforcement Notification
444,2020-04-10,Phishing Scam,Banking App,A advanced campaign impersonated cloud infrastructure to bypass security controls using fake apps.,Sensitive intellectual property was exfiltrated.,Conduct security awareness training for all staff.,Internal SOC Report
445,2021-03-10,Business Email Compromise,VPN,"Unauthorized users perpetrated remote access tools to conduct reconnaissance via supply chain attacks, targeting multiple organizations.",Customer data was potentially leaked.,Run full malware scan and isolate infected hosts.,Internal SOC Report
446,2022-12-05,Ransomware Attack,Facebook,Sophisticated threat actors successfully harvested cloud infrastructure to bypass security controls through lateral movement.,Multiple corporate accounts were accessed unlawfully.,Block malicious IP ranges and update firewall rules.,External Threat Feed
447,2021-03-07,Ransomware Attack,WhatsApp,Attackers installed file sharing services to deploy ransomware through USB drives during business hours.,Internal systems experienced minor disruption.,Deploy intrusion detection systems (IDS) and monitor alerts.,User Incident Report
448,2024-03-15,Phishing Scam,VPN,Unauthorized users successfully executed backup systems to bypass security controls using fake apps.,Two devices were infected and required isolation.,Run full malware scan and isolate infected hosts.,User Incident Report
449,2023-03-13,Identity Theft,Website,Forensic analysis showed attackers initiated file sharing services to harvest PII using cloud services.,Critical infrastructure systems were compromised.,Implement network segmentation to limit lateral movement.,Threat Intelligence Platform
450,2023-11-30,Account Takeover,VPN,Unauthorized users leveraged database systems to escalate privileges through email attachments during business hours.,Multiple corporate accounts were accessed unlawfully.,Conduct security awareness training for all staff.,User Incident Report
451,2022-09-01,Phishing Scam,Instagram,Scammers executed mobile applications to conduct reconnaissance using encrypted channels during business hours.,"No direct financial loss, but credentials were exposed.",Enable MFA and reset all compromised credentials.,Threat Intelligence Platform
452,2021-08-12,DDoS Attack,Instagram,"Unauthorized users distributed network protocols to steal credentials via malicious links, targeting multiple organizations.",Sensitive intellectual property was exfiltrated.,Implement email filtering enhancements.,User Incident Report
453,2023-05-04,Account Takeover,Corporate Network,"Scammers executed mobile applications to harvest PII, resulting in system compromise.",Internal systems experienced minor disruption.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
454,2024-01-18,Ransomware Attack,Email,A group of attackers compromised outdated software versions to escalate privileges.,Critical infrastructure systems were compromised.,Deploy intrusion detection systems (IDS) and monitor alerts.,Threat Intelligence Platform
455,2020-02-26,Business Email Compromise,VPN,Security teams detected that threat actors initiated vulnerable systems to steal credentials through USB drives.,Customer data was potentially leaked.,Verify sender identity before responding.,Internal SOC Report
456,2024-06-16,Fake Investment Scam,Website,An investigation revealed that threat actors distributed backup systems to deploy ransomware through deepfake technology.,The service was temporarily unavailable.,Enable advanced threat protection on email gateways.,Internal SOC Report
457,2020-08-24,Fake Investment Scam,Banking App,Security teams detected that attackers distributed outdated software versions to deploy ransomware through deepfake technology.,"No direct financial loss, but credentials were exposed.",Deploy intrusion detection systems (IDS) and monitor alerts.,Law Enforcement Notification
458,2023-03-27,Business Email Compromise,Banking App,An investigation revealed that adversaries compromised authentication mechanisms to gain unauthorized access via command and control servers.,Multiple corporate accounts were accessed unlawfully.,Patch outdated systems immediately.,CERT Advisory
459,2021-02-23,Ransomware Attack,Banking App,Threat actors harvested misconfigured servers to escalate privileges via SMS messages.,The service was temporarily unavailable.,Patch outdated systems immediately.,Law Enforcement Notification
460,2021-12-01,Identity Theft,Corporate Network,Forensic analysis showed hackers impersonated file sharing services to encrypt critical files through deepfake technology.,Ransomware encrypted critical business files.,Verify sender identity before responding.,User Incident Report
461,2020-08-31,Fake Investment Scam,Instagram,"Attackers executed phishing techniques to steal credentials, resulting in data breach.",Critical infrastructure systems were compromised.,Enable MFA and reset all compromised credentials.,Law Enforcement Notification
462,2020-10-01,Malware Infection,Email,Adversaries orchestrated backup systems to establish persistence.,Critical infrastructure systems were compromised.,Educate employees regarding phishing indicators.,CERT Advisory
463,2024-09-25,Fake Investment Scam,Banking App,A multi-stage fake investment scam deployed compromised accounts to harvest PII through SQL injection.,"No direct financial loss, but credentials were exposed.",Enable advanced threat protection on email gateways.,User Incident Report
464,2024-06-26,Ransomware Attack,Corporate Network,"Threat actors launched employee email accounts to conduct reconnaissance, resulting in system compromise.",Two devices were infected and required isolation.,Patch outdated systems immediately.,User Incident Report
465,2022-11-24,Fake Investment Scam,LinkedIn,Hackers targeted database systems to harvest PII.,Critical infrastructure systems were compromised.,Patch outdated systems immediately.,Internal SOC Report
466,2022-10-28,Fake Investment Scam,Instagram,Forensic analysis showed attackers launched web applications to gain unauthorized access through lateral movement.,Ransomware encrypted critical business files.,Implement network segmentation to limit lateral movement.,External Threat Feed
467,2020-06-05,Ransomware Attack,SMS,Security teams detected that scammers orchestrated network protocols to escalate privileges via supply chain attacks.,Customer data was potentially leaked.,Block malicious IP ranges and update firewall rules.,External Threat Feed
468,2023-05-16,Fake Investment Scam,SMS,An investigation revealed that unauthorized users deployed database systems to gain unauthorized access through third-party vendors.,Sensitive intellectual property was exfiltrated.,Enable MFA and reset all compromised credentials.,Threat Intelligence Platform
469,2022-02-20,DDoS Attack,LinkedIn,Sophisticated threat actors executed IoT devices to install backdoors via malicious links during business hours.,Internal systems experienced minor disruption.,Run full malware scan and isolate infected hosts.,External Threat Feed
470,2021-11-03,Ransomware Attack,Instagram,Hackers successfully conducted backup systems to conduct reconnaissance using drive-by downloads.,Several users reported financial loss.,Deploy endpoint detection and response (EDR) solutions.,Internal SOC Report
471,2023-11-05,Ransomware Attack,Instagram,Multiple adversaries compromised database systems to gain unauthorized access through third-party vendors.,Two devices were infected and required isolation.,Deploy endpoint detection and response (EDR) solutions.,Internal SOC Report
472,2021-04-08,Account Takeover,Email,"A group of attackers launched unpatched security flaws to deploy ransomware using fake apps, targeting multiple organizations.",Several users reported financial loss.,Patch outdated systems immediately.,Law Enforcement Notification
473,2021-09-13,Business Email Compromise,Corporate Network,Forensic analysis showed hackers compromised cloud infrastructure to bypass security controls using drive-by downloads.,"No direct financial loss, but credentials were exposed.",Verify sender identity before responding.,Threat Intelligence Platform
474,2020-05-22,Social Engineering,Corporate Network,Forensic analysis showed unauthorized users installed misconfigured servers to escalate privileges via command and control servers.,Two devices were infected and required isolation.,Patch outdated systems immediately.,Law Enforcement Notification
475,2024-09-06,Account Takeover,LinkedIn,"Adversaries targeted network protocols to conduct reconnaissance, resulting in data breach.",Internal systems experienced minor disruption.,Educate employees regarding phishing indicators.,External Threat Feed
476,2021-11-04,Fake Investment Scam,Corporate Network,Hackers conducted database systems to exfiltrate sensitive data through lateral movement.,The service was temporarily unavailable.,Deploy endpoint detection and response (EDR) solutions.,User Incident Report
477,2020-02-02,Business Email Compromise,Website,Security teams detected that a group of attackers executed phishing techniques to exfiltrate sensitive data using encrypted channels.,Several users reported financial loss.,Enable advanced threat protection on email gateways.,Law Enforcement Notification
478,2023-04-10,Social Engineering,Facebook,An investigation revealed that unauthorized users harvested unpatched security flaws to escalate privileges using AI-generated content.,Internal systems experienced minor disruption.,Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
479,2024-04-27,Account Takeover,SMS,A targeted campaign distributed compromised accounts to encrypt critical files via supply chain attacks.,"No direct financial loss, but credentials were exposed.",Educate employees regarding phishing indicators.,CERT Advisory
480,2020-07-14,Business Email Compromise,Corporate Network,"Scammers perpetrated exposed APIs to encrypt critical files via network shares, targeting multiple organizations.",Internal systems experienced minor disruption.,Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
481,2021-09-04,DDoS Attack,LinkedIn,Multiple cybercriminals harvested misconfigured servers to escalate privileges using fake apps.,Sensitive intellectual property was exfiltrated.,Implement email filtering enhancements.,User Incident Report
482,2023-03-26,Ransomware Attack,VPN,"Threat actors distributed web applications to escalate privileges using social media, targeting multiple organizations.",The service was temporarily unavailable.,Run full malware scan and isolate infected hosts.,CERT Advisory
483,2020-06-01,Social Engineering,WhatsApp,Security teams detected that sophisticated threat actors executed mobile applications to install backdoors through lateral movement.,The service was temporarily unavailable.,Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
484,2022-06-01,DDoS Attack,SMS,Sophisticated threat actors executed cloud infrastructure to deploy ransomware.,Multiple corporate accounts were accessed unlawfully.,Deploy endpoint detection and response (EDR) solutions.,External Threat Feed
485,2023-01-09,Fake Investment Scam,Website,Hackers launched cloud infrastructure to encrypt critical files through watering hole attacks during business hours.,Sensitive intellectual property was exfiltrated.,Implement email filtering enhancements.,User Incident Report
486,2023-05-13,Ransomware Attack,Website,Security teams detected that threat actors harvested mobile applications to install backdoors using fake apps.,Customer data was potentially leaked.,Deploy intrusion detection systems (IDS) and monitor alerts.,Internal SOC Report
487,2024-11-20,Account Takeover,Corporate Network,Security teams detected that threat actors installed weak authentication to install backdoors through SQL injection.,Multiple corporate accounts were accessed unlawfully.,Enable MFA and reset all compromised credentials.,Law Enforcement Notification
488,2023-09-25,DDoS Attack,VPN,Forensic analysis showed attackers launched misconfigured servers to gain unauthorized access using cloud services.,Ransomware encrypted critical business files.,Implement network segmentation to limit lateral movement.,CERT Advisory
489,2022-06-18,DDoS Attack,Corporate Network,Multiple unauthorized users executed database systems to steal credentials through compromised websites.,Internal systems experienced minor disruption.,Patch outdated systems immediately.,External Threat Feed
490,2023-07-20,Business Email Compromise,SMS,Forensic analysis showed a group of attackers impersonated backup systems to establish persistence through third-party vendors.,Two devices were infected and required isolation.,Implement email filtering enhancements.,External Threat Feed
491,2021-11-07,Identity Theft,Website,Multiple hackers leveraged backup systems to move laterally across networks using AI-generated content.,Two devices were infected and required isolation.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
492,2020-03-05,Business Email Compromise,Facebook,Adversaries successfully installed employee email accounts to steal credentials using AI-generated content.,Customer data was potentially leaked.,Deploy endpoint detection and response (EDR) solutions.,External Threat Feed
493,2024-10-17,Malware Infection,Banking App,Multiple threat actors initiated authentication mechanisms to establish persistence via man-in-the-middle attacks.,Customer data was potentially leaked.,Educate employees regarding phishing indicators.,Law Enforcement Notification
494,2022-11-01,Malware Infection,Facebook,Threat actors orchestrated social engineering tactics to escalate privileges via cross-site scripting.,"No direct financial loss, but credentials were exposed.",Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
495,2020-05-21,Identity Theft,Website,A sophisticated campaign exploited outdated software versions to harvest PII through lateral movement.,Multiple corporate accounts were accessed unlawfully.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
496,2023-11-14,Identity Theft,Instagram,Hackers initiated database systems to encrypt critical files.,Two devices were infected and required isolation.,Enable MFA and reset all compromised credentials.,Law Enforcement Notification
497,2023-07-10,Business Email Compromise,WhatsApp,Hackers leveraged authentication mechanisms to steal credentials.,Customer data was potentially leaked.,Patch outdated systems immediately.,CERT Advisory
498,2021-03-07,Account Takeover,VPN,An investigation revealed that hackers initiated employee email accounts to conduct reconnaissance via malicious links.,The service was temporarily unavailable.,Deploy endpoint detection and response (EDR) solutions.,Law Enforcement Notification
499,2022-06-13,Social Engineering,WhatsApp,Unauthorized users exploited exposed APIs to install backdoors through watering hole attacks.,Internal systems experienced minor disruption.,Deploy endpoint detection and response (EDR) solutions.,User Incident Report
500,2024-02-14,DDoS Attack,Website,"Cybercriminals impersonated social engineering tactics to bypass security controls, resulting in data breach.",Multiple corporate accounts were accessed unlawfully.,Verify sender identity before responding.,CERT Advisory
501,2023-11-10,Ransomware Attack,Email,A coordinated ransomware attack perpetrated web applications to steal credentials via command and control servers.,Critical infrastructure systems were compromised.,Enable advanced threat protection on email gateways.,CERT Advisory
502,2024-12-04,Ransomware Attack,LinkedIn,Unauthorized users perpetrated social engineering tactics to harvest PII through USB drives during business hours.,Internal systems experienced minor disruption.,Educate employees regarding phishing indicators.,CERT Advisory
503,2020-05-09,Fake Investment Scam,LinkedIn,Security teams detected that sophisticated threat actors launched compromised accounts to bypass security controls through email attachments.,Several users reported financial loss.,Educate employees regarding phishing indicators.,External Threat Feed
504,2021-06-13,Malware Infection,WhatsApp,An investigation revealed that adversaries compromised remote access tools to harvest PII using cloud services.,Customer data was potentially leaked.,Deploy intrusion detection systems (IDS) and monitor alerts.,External Threat Feed
505,2024-03-09,Social Engineering,Email,Forensic analysis showed adversaries targeted exposed APIs to exfiltrate sensitive data via SMS messages.,"No direct financial loss, but credentials were exposed.",Educate employees regarding phishing indicators.,External Threat Feed
506,2022-03-25,DDoS Attack,VPN,Threat actors orchestrated zero-day exploits to install backdoors using encrypted channels during business hours.,Several users reported financial loss.,Run full malware scan and isolate infected hosts.,Internal SOC Report
507,2020-07-28,Identity Theft,Corporate Network,A targeted identity theft executed compromised accounts to deploy ransomware via malicious links.,"No direct financial loss, but credentials were exposed.",Patch outdated systems immediately.,CERT Advisory
508,2022-04-09,Account Takeover,Banking App,Attackers orchestrated malware payloads to move laterally across networks via phishing emails.,Critical infrastructure systems were compromised.,Patch outdated systems immediately.,External Threat Feed
509,2024-07-04,Malware Infection,Website,"Hackers harvested social engineering tactics to conduct reconnaissance, resulting in unauthorized access.",Internal systems experienced minor disruption.,Conduct security awareness training for all staff.,Law Enforcement Notification
510,2022-10-14,Malware Infection,VPN,"Adversaries installed authentication mechanisms to install backdoors, resulting in financial loss.",Internal systems experienced minor disruption.,Deploy endpoint detection and response (EDR) solutions.,Internal SOC Report
511,2022-09-10,Credential Harvesting,Email,Malicious actors successfully perpetrated weak authentication to deploy ransomware through watering hole attacks.,Customer data was potentially leaked.,Run full malware scan and isolate infected hosts.,User Incident Report
512,2020-09-13,Phishing Scam,VPN,Security teams detected that attackers launched database systems to gain unauthorized access through SQL injection.,Customer data was potentially leaked.,Verify sender identity before responding.,Law Enforcement Notification
513,2020-05-27,DDoS Attack,WhatsApp,Security teams detected that threat actors harvested outdated software versions to exfiltrate sensitive data using drive-by downloads.,Customer data was potentially leaked.,Verify sender identity before responding.,External Threat Feed
514,2022-01-22,Account Takeover,Website,Multiple scammers distributed zero-day exploits to escalate privileges using cloud services.,Ransomware encrypted critical business files.,Implement email filtering enhancements.,Threat Intelligence Platform
515,2021-10-06,Business Email Compromise,Banking App,Cybercriminals leveraged exposed APIs to encrypt critical files.,Two devices were infected and required isolation.,Educate employees regarding phishing indicators.,CERT Advisory
516,2023-01-02,DDoS Attack,Banking App,A sophisticated campaign perpetrated stolen credentials to harvest PII through third-party vendors.,The service was temporarily unavailable.,Enable advanced threat protection on email gateways.,CERT Advisory
517,2023-06-13,DDoS Attack,Corporate Network,Forensic analysis showed scammers orchestrated weak authentication to deploy ransomware using social media.,"No direct financial loss, but credentials were exposed.",Verify sender identity before responding.,Law Enforcement Notification
518,2022-01-08,Phishing Scam,Instagram,Multiple unauthorized users targeted misconfigured servers to establish persistence via SMS messages.,Sensitive intellectual property was exfiltrated.,Block malicious IP ranges and update firewall rules.,CERT Advisory
519,2024-11-30,Ransomware Attack,WhatsApp,An investigation revealed that malicious actors distributed zero-day exploits to move laterally across networks using AI-generated content.,Customer data was potentially leaked.,Patch outdated systems immediately.,Law Enforcement Notification
520,2024-08-10,DDoS Attack,Facebook,A sophisticated ddos attack executed outdated software versions to harvest PII using drive-by downloads.,"No direct financial loss, but credentials were exposed.",Patch outdated systems immediately.,Law Enforcement Notification
521,2024-03-16,Phishing Scam,Instagram,Forensic analysis showed a group of attackers launched corporate networks to deploy ransomware via supply chain attacks.,Internal systems experienced minor disruption.,Deploy intrusion detection systems (IDS) and monitor alerts.,User Incident Report
522,2023-02-10,Fake Investment Scam,Banking App,Security teams detected that threat actors distributed phishing techniques to gain unauthorized access via phishing emails.,Critical infrastructure systems were compromised.,Educate employees regarding phishing indicators.,Law Enforcement Notification
523,2020-04-22,Phishing Scam,SMS,Multiple cybercriminals compromised file sharing services to escalate privileges using drive-by downloads.,Two devices were infected and required isolation.,Implement network segmentation to limit lateral movement.,CERT Advisory
524,2021-09-30,DDoS Attack,Corporate Network,"A group of attackers deployed weak authentication to harvest PII through watering hole attacks, targeting multiple organizations.",Customer data was potentially leaked.,Implement email filtering enhancements.,User Incident Report
525,2020-04-21,Phishing Scam,WhatsApp,A persistent campaign distributed network protocols to steal credentials using drive-by downloads.,Two devices were infected and required isolation.,Enable MFA and reset all compromised credentials.,User Incident Report
526,2022-04-06,Ransomware Attack,VPN,Multiple sophisticated threat actors harvested file sharing services to exfiltrate sensitive data via network shares.,Multiple corporate accounts were accessed unlawfully.,Patch outdated systems immediately.,Internal SOC Report
527,2022-05-23,Ransomware Attack,Facebook,Forensic analysis showed unauthorized users targeted weak authentication to escalate privileges via cross-site scripting.,The service was temporarily unavailable.,Implement network segmentation to limit lateral movement.,External Threat Feed
528,2021-02-08,Malware Infection,Instagram,A coordinated malware infection impersonated unpatched security flaws to harvest PII through third-party vendors.,Two devices were infected and required isolation.,Conduct security awareness training for all staff.,External Threat Feed
529,2021-06-09,Fake Investment Scam,Banking App,Threat actors successfully leveraged backup systems to encrypt critical files using fake apps.,Multiple corporate accounts were accessed unlawfully.,Deploy endpoint detection and response (EDR) solutions.,Internal SOC Report
530,2024-03-21,Social Engineering,Facebook,"Hackers exploited network protocols to establish persistence, resulting in financial loss.",Multiple corporate accounts were accessed unlawfully.,Implement network segmentation to limit lateral movement.,Threat Intelligence Platform
531,2020-03-01,Social Engineering,Facebook,Malicious actors successfully harvested misconfigured servers to encrypt critical files through compromised websites.,Ransomware encrypted critical business files.,Verify sender identity before responding.,CERT Advisory
532,2020-11-20,Fake Investment Scam,LinkedIn,An investigation revealed that scammers initiated outdated software versions to gain unauthorized access using encrypted channels.,Sensitive intellectual property was exfiltrated.,Block malicious IP ranges and update firewall rules.,User Incident Report
533,2020-06-12,DDoS Attack,SMS,A sophisticated ddos attack deployed malware payloads to install backdoors through deepfake technology.,Several users reported financial loss.,Block malicious IP ranges and update firewall rules.,Internal SOC Report
534,2024-01-25,Ransomware Attack,Instagram,Adversaries targeted cloud infrastructure to exfiltrate sensitive data through watering hole attacks during business hours.,Ransomware encrypted critical business files.,Implement email filtering enhancements.,CERT Advisory
535,2020-01-03,DDoS Attack,Facebook,"Hackers orchestrated social engineering tactics to establish persistence, resulting in credential theft.",Internal systems experienced minor disruption.,Deploy intrusion detection systems (IDS) and monitor alerts.,Internal SOC Report
536,2022-04-24,DDoS Attack,VPN,Scammers leveraged compromised accounts to deploy ransomware.,Several users reported financial loss.,Educate employees regarding phishing indicators.,Law Enforcement Notification
537,2023-07-31,Social Engineering,LinkedIn,Cybercriminals leveraged compromised accounts to install backdoors through third-party vendors.,Customer data was potentially leaked.,Run full malware scan and isolate infected hosts.,External Threat Feed
538,2021-07-17,Business Email Compromise,Corporate Network,A advanced business email compromise harvested stolen credentials to conduct reconnaissance using fake apps.,Customer data was potentially leaked.,Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
539,2022-03-09,Identity Theft,Website,Unauthorized users successfully initiated weak authentication to gain unauthorized access using social media.,Internal systems experienced minor disruption.,Educate employees regarding phishing indicators.,Internal SOC Report
540,2024-01-11,Identity Theft,Banking App,Unauthorized users distributed compromised accounts to exfiltrate sensitive data.,Several users reported financial loss.,Deploy endpoint detection and response (EDR) solutions.,Internal SOC Report
541,2021-08-01,Identity Theft,WhatsApp,A widespread campaign targeted remote access tools to establish persistence through lateral movement.,Two devices were infected and required isolation.,Deploy intrusion detection systems (IDS) and monitor alerts.,Law Enforcement Notification
542,2020-02-02,Credential Harvesting,Corporate Network,A multi-stage campaign perpetrated backup systems to deploy ransomware through third-party vendors.,Two devices were infected and required isolation.,Verify sender identity before responding.,Threat Intelligence Platform
543,2023-01-29,Business Email Compromise,Email,A sophisticated campaign exploited IoT devices to exfiltrate sensitive data using cloud services.,Multiple corporate accounts were accessed unlawfully.,Educate employees regarding phishing indicators.,External Threat Feed
544,2024-05-17,Malware Infection,VPN,A group of attackers targeted backup systems to deploy ransomware.,"No direct financial loss, but credentials were exposed.",Block malicious IP ranges and update firewall rules.,External Threat Feed
545,2020-05-18,Credential Harvesting,Website,Unauthorized users compromised exposed APIs to harvest PII.,Multiple corporate accounts were accessed unlawfully.,Run full malware scan and isolate infected hosts.,Threat Intelligence Platform
546,2023-07-16,Fake Investment Scam,LinkedIn,Cybercriminals installed vulnerable systems to bypass security controls.,Sensitive intellectual property was exfiltrated.,Conduct security awareness training for all staff.,CERT Advisory
547,2021-04-24,Credential Harvesting,SMS,A multi-stage campaign executed cloud infrastructure to escalate privileges through compromised websites.,Customer data was potentially leaked.,Run full malware scan and isolate infected hosts.,User Incident Report
548,2024-04-11,Malware Infection,LinkedIn,Malicious actors launched cloud infrastructure to gain unauthorized access through watering hole attacks.,Several users reported financial loss.,Conduct security awareness training for all staff.,External Threat Feed
549,2023-08-03,Credential Harvesting,Email,Multiple scammers initiated network protocols to harvest PII through lateral movement.,Two devices were infected and required isolation.,Patch outdated systems immediately.,Threat Intelligence Platform
550,2024-07-31,Phishing Scam,Facebook,A sophisticated campaign compromised file sharing services to move laterally across networks through lateral movement.,Internal systems experienced minor disruption.,Block malicious IP ranges and update firewall rules.,Internal SOC Report
551,2020-01-12,Fake Investment Scam,Facebook,"Threat actors impersonated mobile applications to exfiltrate sensitive data, resulting in unauthorized access.",Ransomware encrypted critical business files.,Block malicious IP ranges and update firewall rules.,CERT Advisory
552,2021-11-09,Ransomware Attack,WhatsApp,An investigation revealed that unauthorized users impersonated unpatched security flaws to deploy ransomware through deepfake technology.,Critical infrastructure systems were compromised.,Run full malware scan and isolate infected hosts.,Law Enforcement Notification
553,2021-06-26,Account Takeover,Email,Threat actors exploited backup systems to deploy ransomware through email attachments.,Internal systems experienced minor disruption.,Implement network segmentation to limit lateral movement.,CERT Advisory
554,2020-12-01,Account Takeover,Website,Unauthorized users successfully distributed malware payloads to steal credentials through deepfake technology.,Critical infrastructure systems were compromised.,Implement network segmentation to limit lateral movement.,CERT Advisory
555,2024-12-27,Malware Infection,LinkedIn,A large-scale malware infection harvested mobile applications to harvest PII via network shares.,Critical infrastructure systems were compromised.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
556,2021-04-22,Fake Investment Scam,Instagram,An investigation revealed that threat actors exploited backup systems to deploy ransomware using privilege escalation.,Critical infrastructure systems were compromised.,Enable MFA and reset all compromised credentials.,Internal SOC Report
557,2024-11-14,Ransomware Attack,Website,Malicious actors impersonated remote access tools to bypass security controls through watering hole attacks during business hours.,"No direct financial loss, but credentials were exposed.",Run full malware scan and isolate infected hosts.,User Incident Report
558,2022-09-18,Phishing Scam,VPN,"Unauthorized users executed malware payloads to establish persistence, resulting in system compromise.","No direct financial loss, but credentials were exposed.",Block malicious IP ranges and update firewall rules.,Law Enforcement Notification
559,2022-02-10,DDoS Attack,WhatsApp,"Hackers compromised social engineering tactics to encrypt critical files, resulting in unauthorized access.",Critical infrastructure systems were compromised.,Run full malware scan and isolate infected hosts.,User Incident Report
560,2020-03-02,Identity Theft,Banking App,Forensic analysis showed sophisticated threat actors impersonated web applications to encrypt critical files using cloud services.,Sensitive intellectual property was exfiltrated.,Verify sender identity before responding.,User Incident Report
561,2022-01-01,Identity Theft,LinkedIn,A large-scale identity theft installed web applications to install backdoors via supply chain attacks.,Two devices were infected and required isolation.,Implement email filtering enhancements.,Threat Intelligence Platform
562,2021-12-21,Business Email Compromise,Facebook,Unauthorized users distributed outdated software versions to bypass security controls using fake apps during business hours.,Ransomware encrypted critical business files.,Enable advanced threat protection on email gateways.,Internal SOC Report
563,2022-12-26,Social Engineering,Corporate Network,Security teams detected that adversaries deployed phishing techniques to encrypt critical files via man-in-the-middle attacks.,Two devices were infected and required isolation.,Verify sender identity before responding.,User Incident Report
564,2020-01-24,Malware Infection,VPN,Security teams detected that adversaries orchestrated authentication mechanisms to harvest PII through watering hole attacks.,Several users reported financial loss.,Block malicious IP ranges and update firewall rules.,External Threat Feed
565,2021-08-02,Identity Theft,LinkedIn,A coordinated identity theft launched outdated software versions to deploy ransomware using privilege escalation.,Customer data was potentially leaked.,Implement network segmentation to limit lateral movement.,Internal SOC Report
566,2024-02-29,Phishing Scam,Facebook,Multiple malicious actors compromised authentication mechanisms to escalate privileges using encrypted channels.,The service was temporarily unavailable.,Patch outdated systems immediately.,Law Enforcement Notification
567,2021-04-16,Fake Investment Scam,Facebook,Cybercriminals perpetrated web applications to encrypt critical files using encrypted channels.,Two devices were infected and required isolation.,Deploy endpoint detection and response (EDR) solutions.,User Incident Report
568,2022-03-24,Fake Investment Scam,LinkedIn,"Hackers leveraged misconfigured servers to bypass security controls, resulting in unauthorized access.",Customer data was potentially leaked.,Block malicious IP ranges and update firewall rules.,Law Enforcement Notification
569,2020-06-25,Credential Harvesting,WhatsApp,Unauthorized users leveraged unpatched security flaws to bypass security controls.,Critical infrastructure systems were compromised.,Run full malware scan and isolate infected hosts.,User Incident Report
570,2024-03-03,Business Email Compromise,Banking App,Forensic analysis showed cybercriminals executed stolen credentials to harvest PII using encrypted channels.,The service was temporarily unavailable.,Conduct security awareness training for all staff.,External Threat Feed
571,2022-02-17,Fake Investment Scam,WhatsApp,Forensic analysis showed adversaries executed weak authentication to gain unauthorized access using privilege escalation.,Several users reported financial loss.,Enable MFA and reset all compromised credentials.,User Incident Report
572,2022-03-23,Business Email Compromise,Corporate Network,Security teams detected that scammers initiated stolen credentials to establish persistence using encrypted channels.,Ransomware encrypted critical business files.,Patch outdated systems immediately.,User Incident Report
573,2021-07-20,Identity Theft,LinkedIn,"Cybercriminals leveraged authentication mechanisms to exfiltrate sensitive data using social media, targeting multiple organizations.",Several users reported financial loss.,Deploy intrusion detection systems (IDS) and monitor alerts.,Internal SOC Report
